Line 5 x;Line 5 y
1,411431447656E-2;1,001087676254E0
7,386066239041E-2;1,001087676254E0
1,933533582181E-1;1,001087676254E0
2,929306047412E-1;9,997618210996E-1
5,622551001919E-1;1,000745365766E0
6,056868181165E-1;1,001595357296E0
9,899713304029E-1;1,000424748677E0
1,246915304136E0;1,000572811094E0
1,285314044329E0;1,000572811094E0
1,332245837897E0;1,000572811094E0
1,370644578089E0;1,000572811094E0
1,409043318282E0;1,000572811094E0
1,447442058474E0;1,000572811094E0
1,485840798666E0;1,000572811094E0
1,524239538858E0;1,000572811094E0
1,562638279051E0;1,000572811094E0
1,601037019243E0;1,000572811094E0
1,639435759435E0;1,000572811094E0
1,677834499627E0;1,000572811094E0
1,716233239820E0;1,000572811094E0
1,754631980012E0;1,000572811094E0
1,793030720204E0;1,000572811094E0
1,831429460396E0;1,000572811094E0
1,869828200589E0;1,000572811094E0
1,908226940781E0;1,000572811094E0
1,958145303031E0;1,000572811094E0
2,020360404699E0;1,000508901956E0
2,064993079559E0;9,999911423510E-1
2,101559003427E0;9,989546808901E-1
2,125412542505E0;9,980839052341E-1
2,135886138275E0;9,967316056344E-1
2,138619381934E0;9,939688668723E-1
2,138619381934E0;9,951050293190E-1
2,140740710938E0;9,922416814605E-1
2,145019171966E0;9,935428059548E-1
2,151002386541E0;9,910370059211E-1
2,177106400180E0;9,898805098401E-1
2,204794304847E0;9,891277041775E-1
2,271432606940E0;9,882053395154E-1
2,318956322480E0;9,879621687582E-1
2,365583364142E0;9,878366329521E-1
2,407410563280E0;9,877909835681E-1
2,445809303472E0;9,877909835681E-1
2,484208043665E0;9,877909835681E-1
2,522606783857E0;9,877909835681E-1
2,561005524049E0;9,877909835681E-1
2,599404264241E0;9,877909835681E-1
2,637803004434E0;9,877909835681E-1
2,676201744626E0;9,877909835681E-1
2,714600484818E0;9,877909835681E-1
2,752999225010E0;9,877909835681E-1
2,791397965203E0;9,877909835681E-1
2,829796705395E0;9,877909835681E-1
2,868195445587E0;9,877909835681E-1
2,906594185779E0;9,877909835681E-1
2,944992925972E0;9,877909835681E-1
2,983391666164E0;9,877909835681E-1
3,021790406356E0;9,877909835681E-1
3,060189146549E0;9,877909835681E-1
3,098587886741E0;9,877909835681E-1
3,136986626933E0;9,877909835681E-1
3,178813826071E0;9,877909835681E-1
3,225440867733E0;9,877909835681E-1
