Line 6 x;Line 6 y
2,203623172051E-1;9,991488356212E-1
2,495933581764E-1;1,000182965354E0
9,251021927007E-1;9,991424743689E-1
9,457039232936E-1;9,978469139747E-1
9,602479628007E-1;9,968401491856E-1
9,770185904342E-1;9,956425500700E-1
9,978069280064E-1;9,942541971537E-1
1,019754826664E0;9,929722184907E-1
1,056634593811E0;9,914501824485E-1
1,096700787689E0;9,900698706344E-1
1,124676774740E0;9,892396880140E-1
1,149262086795E0;9,885197099725E-1
1,181073335113E0;9,877120787675E-1
1,191405703416E0;9,873725947266E-1
1,308617515931E0;9,814108754818E-1
1,321945930186E0;9,811106735958E-1
1,353031756530E0;9,806074413504E-1
1,477780110745E0;9,794741730149E-1
1,549209987784E0;9,787159354115E-1
1,579399500233E0;9,781666963496E-1
1,616115020796E0;9,771901955155E-1
1,650323942535E0;9,759470604557E-1
1,676035148247E0;9,747622986861E-1
1,689790653674E0;9,737694491991E-1
1,832903351434E0;9,553454763781E-1
1,838119284203E0;9,540434660303E-1
1,850584195112E0;9,524647965917E-1
1,863935351352E0;9,513202001584E-1
1,883555894999E0;9,498874112411E-1
1,910518041235E0;9,482843799985E-1
1,928189575879E0;9,473484535930E-1
2,140185764110E0;9,261909380356E-1
2,147526235900E0;9,240758106957E-1
2,161323612066E0;9,219065967376E-1
2,174760597381E0;9,204476284001E-1
2,186177065354E0;9,193699479986E-1
2,408237028540E0;8,965447953238E-1
2,444066593436E0;8,958100125340E-1
2,479220690355E0;8,949305079598E-1
2,514120053195E0;8,938568329094E-1
2,542640998358E0;8,927230005109E-1
2,804444732924E0;8,735585426562E-1
2,820965430511E0;8,724821967104E-1
2,837476453433E0;8,712772954323E-1
2,847036956094E0;8,700871068839E-1
2,848996075491E0;8,633796740037E-1
2,848996075491E0;8,649677653522E-1
2,848996075491E0;8,666689657301E-1
2,848996075491E0;8,685588736385E-1
3,036955476578E0;8,456507456737E-1
3,037222134496E0;8,456684982120E-1
3,070714489505E0;8,453037672568E-1
3,098363895178E0;8,449951861310E-1
3,131859467024E0;8,446228807314E-1
3,185068647566E0;8,441212962715E-1
3,221759230281E0;8,437684645289E-1
3,260444114931E0;8,434874281929E-1
3,337713561183E0;8,430112380800E-1
3,605516493233E0;8,220855144060E-1
3,635063509390E0;8,212425004338E-1
3,658277375844E0;8,204709868685E-1
3,681670489869E0;8,195122677631E-1
3,702191517712E0;8,185133684546E-1
3,950932672758E0;7,999559153427E-1
3,971313544703E0;7,986137409444E-1
4,019470945229E0;7,953925164817E-1
4,034803747964E0;7,943605972162E-1
4,221350140950E0;7,719968232320E-1
4,253836678592E0;7,714490661001E-1
4,284690462033E0;7,707780787004E-1
4,312861967069E0;7,699854627997E-1
4,340766450420E0;7,691941281653E-1
4,364029116739E0;7,684144063879E-1
4,836827100023E0;7,566013566160E-1
4,860694412664E0;7,553942415635E-1
4,892226036193E0;7,542411971996E-1
4,919524878927E0;7,531823257168E-1
4,947475775969E0;7,522584313185E-1
4,972185552446E0;7,515129385752E-1
5,001579770753E0;7,506394177017E-1
5,045402819383E0;7,495046910574E-1
5,081997697188E0;7,486013740349E-1
5,134921077561E0;7,286447562429E-1
5,139232047236E0;7,274961670194E-1
5,145959676440E0;7,262859511275E-1
5,156741962271E0;7,247338720707E-1
5,173690495295E0;7,226368730723E-1
5,196935325974E0;7,198883331029E-1
5,209290354783E0;7,184937396065E-1
5,395962623052E0;6,957369346501E-1
5,409182916278E0;6,943486734051E-1
5,415130066123E0;6,930441556972E-1
5,419671735299E0;6,916996514304E-1
5,426191521395E0;6,897816213555E-1
5,444246615568E0;6,820553159111E-1
5,449422212220E0;6,863164234344E-1
5,458158562693E0;6,833396149137E-1
5,463315871163E0;6,847812141660E-1
5,489197136112E0;6,840287956857E-1
5,541174415637E0;6,841160645997E-1
5,675037469669E0;6,760339304979E-1
5,676103322146E0;6,543983156021E-1
5,679107283234E0;6,756768947408E-1
5,685433925113E0;6,742096641070E-1
5,702720630688E0;6,710340577910E-1
5,708206165001E0;6,697376152848E-1
5,709153666383E0;6,627247632475E-1
5,709702219814E0;6,648144906049E-1
5,709702219814E0;6,669316075927E-1
5,709702219814E0;6,685009319723E-1
5,709702219814E0;6,685009319723E-1
5,712924971223E0;6,612426799129E-1
5,723187491667E0;6,596023453805E-1
5,727941621405E0;6,558682257676E-1
5,755300723792E0;6,560493016575E-1
5,842680714123E0;6,450767362137E-1
5,844689960372E0;6,448624375195E-1
5,850831658064E0;6,437356727243E-1
5,859166940151E0;6,425210866812E-1
5,862301940438E0;6,422171111704E-1
5,868957657639E0;6,412755562894E-1
5,872810412327E0;6,409581492111E-1
5,887686744737E0;6,394453728378E-1
5,906224305660E0;6,376661337301E-1
5,924478319847E0;6,360235206494E-1
5,962530911879E0;6,326462734509E-1
5,979026716996E0;6,118854246749E-1
5,984284524610E0;6,105717298787E-1
5,994662024344E0;6,093576131367E-1
6,034172422685E0;6,070400999441E-1
6,069152304996E0;6,057190765042E-1
6,101476032942E0;6,050088888047E-1
6,170469324927E0;6,041575359299E-1
6,213552878737E0;6,038306555095E-1
6,250591140689E0;6,035989202405E-1
6,441556499320E0;5,858838054012E-1
6,479067988582E0;5,853450047092E-1
6,577601959675E0;5,838786344783E-1
6,623694797127E0;5,830401632739E-1
6,908805736086E0;5,627153319114E-1
6,949505054394E0;5,601516316741E-1
6,963689975734E0;5,590913806308E-1
6,979109011535E0;5,579109249793E-1
7,111256236831E0;5,314797408951E-1
7,111256236831E0;5,327267760124E-1
7,111256236831E0;5,347943736288E-1
7,111256236831E0;5,359428304493E-1
7,112004264238E0;5,294877677742E-1
7,115654637981E0;5,271931807367E-1
7,121071187544E0;5,256392203720E-1
7,132375543937E0;5,222197633465E-1
7,139775058745E0;5,197011992201E-1
7,142054957009E0;5,193595630214E-1
7,247571764514E0;5,132856082763E-1
7,260801875907E0;5,130419546891E-1
7,272992461123E0;5,112076860125E-1
