Line 5 x;Line 5 y
7,468055295263E0;7,111822661381E-1
7,489995068821E0;7,087655368894E-1
7,475330275733E0;7,103104293250E-1
7,460405056695E0;7,119821813680E-1
7,451221083251E0;7,130305834279E-1
7,439973957799E0;7,142802052967E-1
7,423267712573E0;7,165428475679E-1
7,417005052498E0;7,180988817750E-1
7,414946095761E0;7,194947359902E-1
7,414946095761E0;7,207761759254E-1
7,414946095761E0;7,220576158607E-1
7,414946095761E0;7,233390557960E-1
7,414946095761E0;7,246204957312E-1
7,414946095761E0;7,259019356665E-1
7,414946095761E0;7,271833756017E-1
7,414946095761E0;7,284648155370E-1
7,414946095761E0;7,297462554722E-1
7,414946095761E0;7,310276954075E-1
7,414946095761E0;7,323091353428E-1
7,414946095761E0;7,335905752780E-1
7,414946095761E0;7,349864294932E-1
7,413504826045E0;7,366385716955E-1
7,408487072220E0;7,388966010734E-1
7,401738269582E0;7,403730855742E-1
7,386197092887E0;7,419802025234E-1
7,336832422335E0;7,458405843767E-1
7,309699437185E0;7,475308111451E-1
7,261210659405E0;7,502492944364E-1
7,261210659405E0;7,515307343716E-1
7,261210659405E0;7,528121743069E-1
7,261210659405E0;7,540936142421E-1
7,261210659405E0;7,553750541774E-1
7,261210659405E0;7,566564941127E-1
7,261210659405E0;7,579379340479E-1
7,261210659405E0;7,592193739832E-1
7,261210659405E0;7,605008139184E-1
7,261210659405E0;7,617822538537E-1
7,261210659405E0;7,634481257695E-1
7,260610130357E0;7,650850127344E-1
7,250845972869E0;7,664342537245E-1
7,234315170406E0;7,674236015003E-1
7,208789777310E0;7,684466085882E-1
7,173773629978E0;7,697789319112E-1
7,149144827839E0;7,707594649572E-1
7,122782214548E0;7,721225310802E-1
7,112366805116E0;7,735382171039E-1
7,107475223050E0;7,754890845897E-1
7,107475223050E0;7,770451187968E-1
7,107475223050E0;7,784409730120E-1
7,107475223050E0;7,797224129473E-1
7,107475223050E0;7,810038528825E-1
7,107475223050E0;7,822852928178E-1
7,107475223050E0;7,835667327531E-1
7,107475223050E0;7,848481726883E-1
7,107475223050E0;7,861296126236E-1
7,107475223050E0;7,874110525588E-1
7,107475223050E0;7,886924924941E-1
7,107475223050E0;7,899739324293E-1
7,107475223050E0;7,912553723646E-1
7,107475223050E0;7,925368122999E-1
7,107475223050E0;7,938182522351E-1
7,107475223050E0;7,950996921704E-1
7,107475223050E0;7,963811321056E-1
7,107475223050E0;7,976625720409E-1
7,107475223050E0;7,989440119761E-1
7,107475223050E0;8,002254519114E-1
7,107475223050E0;8,015068918467E-1
7,107475223050E0;8,027883317819E-1
7,107475223050E0;8,040697717172E-1
7,107475223050E0;8,053512116524E-1
7,107475223050E0;8,066326515877E-1
7,107475223050E0;8,079140915229E-1
7,107475223050E0;8,091955314582E-1
7,107475223050E0;8,104769713935E-1
7,107475223050E0;8,117584113287E-1
7,107475223050E0;8,130398512640E-1
7,107475223050E0;8,143212911992E-1
7,107475223050E0;8,156027311345E-1
7,107475223050E0;8,168841710697E-1
7,107475223050E0;8,182800252849E-1
7,106033953334E0;8,199321674872E-1
7,098592232564E0;8,225103759375E-1
7,094213723212E0;8,236373419264E-1
7,081807280222E0;8,256545480224E-1
7,062904865451E0;8,281439944364E-1
7,038889693009E0;8,304384494326E-1
6,992173645783E0;8,335428902281E-1
6,992173645783E0;8,348243301633E-1
6,992173645783E0;8,361057700986E-1
6,992173645783E0;8,377716420144E-1
6,988330259874E0;8,394726009761E-1
6,973757128338E0;8,404787425517E-1
6,958489598843E0;8,414951627434E-1
6,931513879323E0;8,432110391225E-1
6,962725012509E0;8,411904936068E-1
6,909822308821E0;8,448056470328E-1
