Line 2 x;Line 2 y
1,410672552052E-1;1,000858812764E0
1,437327536134E-1;1,000770801779E0
2,004932687647E-1;1,000950009213E0
2,387655078377E-1;1,001136033734E0
2,591170411080E-1;1,001870234998E0
2,907224376376E-1;1,002278324332E0
8,491618347400E-1;1,000984375102E0
8,594108638303E-1;9,987204978828E-1
8,611724157052E-1;9,975672019410E-1
8,619731211029E-1;9,847100879239E-1
8,619731211029E-1;9,880479338505E-1
8,619731211029E-1;9,898785623295E-1
8,619731211029E-1;9,917091908084E-1
8,619731211029E-1;9,941500287803E-1
8,619731211029E-1;9,962857620058E-1
1,400795859888E0;9,800646774682E-1
1,429218309812E0;9,784568370619E-1
1,458316008532E0;9,772996146989E-1
1,488385209901E0;9,765061097049E-1
1,524756014330E0;9,756026997365E-1
1,561532566831E0;9,749342129918E-1
1,601630798165E0;9,744883392687E-1
1,714646586828E0;9,734640795207E-1
1,745059665562E0;9,565611240128E-1
1,780679617110E0;9,565611240128E-1
1,791592087816E0;9,565611240128E-1
1,835887110416E0;9,565354952141E-1
1,899471239175E0;9,560301746979E-1
1,916107712455E0;9,556507565241E-1
1,943203055175E0;9,550145923250E-1
1,968222033760E0;9,540165496997E-1
1,987263026688E0;9,527642310787E-1
1,994374369350E0;9,512123604389E-1
1,995291540987E0;9,505806260372E-1
1,995771964226E0;9,475483298015E-1
1,995771964226E0;9,493896369465E-1
1,995771964226E0;9,469503244984E-1
2,130290471037E0;9,296152898186E-1
2,130674809628E0;9,276776712753E-1
2,135759904830E0;9,260906728480E-1
2,162695282450E0;9,243211748431E-1
2,169794283712E0;9,240332242376E-1
2,185396730673E0;9,234902468395E-1
2,225608631541E0;9,226084419675E-1
2,245523416412E0;9,225251640181E-1
2,316282896271E0;9,220690324221E-1
2,359120635047E0;9,219889424262E-1
2,369403980083E0;9,219622457608E-1
2,399327484659E0;9,219622457608E-1
2,562671385787E0;9,057041383802E-1
2,595066420577E0;9,046201196281E-1
2,623158177128E0;9,036412454558E-1
2,644406368904E0;9,027875083383E-1
2,666558258353E0;9,017770455770E-1
2,670142391083E0;9,014879067597E-1
2,689225820210E0;9,004082276250E-1
2,701751486985E0;8,991370823080E-1
2,721301155883E0;8,975393383618E-1
2,733994888135E0;8,962629678593E-1
2,859222470139E0;8,799858833743E-1
2,869127454760E0;8,794410972836E-1
2,896228090776E0;8,781424528461E-1
2,910575454701E0;8,776063026281E-1
2,944848951998E0;8,758769952394E-1
2,987152007280E0;8,733127218616E-1
2,995052300537E0;8,717586835481E-1
2,995052300537E0;8,696062712632E-1
3,044157465492E0;8,513556045265E-1
3,078325661896E0;8,511169236259E-1
3,095679131606E0;8,500884432623E-1
3,134598515553E0;8,474411949359E-1
3,159795596114E0;8,459811483318E-1
3,165982625339E0;8,454969878072E-1
3,194650941529E0;8,444671290941E-1
3,197529556541E0;8,443853426404E-1
3,220979701753E0;8,436744285873E-1
3,252085636082E0;8,429867229282E-1
3,290779494082E0;8,425788215493E-1
3,767265637856E0;8,336719852292E-1
3,801414126219E0;8,327401431244E-1
3,823188857266E0;8,313782200577E-1
3,837802010741E0;8,294755665894E-1
3,840597200493E0;8,248611346667E-1
3,840597200493E0;8,275246991036E-1
3,840597200493E0;8,239320907137E-1
3,840597200493E0;8,252726446935E-1
3,858281871072E0;8,009392236632E-1
3,874978258415E0;8,008763371477E-1
3,885805859148E0;7,993682115867E-1
3,901614631362E0;7,992583125370E-1
3,920820255575E0;7,980922612255E-1
3,968094136894E0;7,944220075892E-1
3,979081105464E0;7,933285200010E-1
3,979292280514E0;7,933355608798E-1
3,991165402164E0;7,930754916800E-1
3,996366174367E0;7,915011511882E-1
4,005606568848E0;7,919558928625E-1
4,129278186539E0;7,763433270291E-1
4,134396230737E0;7,752455979041E-1
4,150477815163E0;7,739499235997E-1
4,172367460041E0;7,731318422365E-1
4,201340979079E0;7,724335298956E-1
4,300224976062E0;7,714960262201E-1
