Line 22 x;Line 22 y
2,495517458098E-2;9,937683201966E-1
1,687616643331E-1;9,937661001384E-1
2,303930170841E-1;9,937651486848E-1
3,125757657134E-1;9,924118646383E-1
3,947509027146E-1;9,924105960337E-1
4,974698239662E-1;9,924090102778E-1
6,262707273805E-1;9,935448000593E-1
6,678091593354E-1;9,929397401545E-1
7,014373594237E-1;9,925987605496E-1
7,273037312320E-1;9,925983612293E-1
7,531701030402E-1;9,925979619090E-1
7,790364748485E-1;9,925975625887E-1
8,049028466568E-1;9,925971632684E-1
8,307692184651E-1;9,925967639481E-1
8,566355902734E-1;9,925963646278E-1
8,825019620817E-1;9,925959653075E-1
9,083683338900E-1;9,925955659872E-1
9,342347056983E-1;9,925951666669E-1
9,601010775066E-1;9,925947673466E-1
9,859674493149E-1;9,925943680263E-1
1,011833821123E0;9,925939687060E-1
1,045460104474E0;9,925934495896E-1
1,094557903180E0;9,922229997143E-1
1,122804506318E0;9,910695261763E-1
1,139484055712E0;9,900767550175E-1
1,165265488083E0;9,877602615049E-1
1,180368025115E0;9,859002157015E-1
1,194272210080E0;9,839334835149E-1
1,203170498865E0;9,818412911362E-1
1,209389009038E0;9,797739090762E-1
1,218047167094E0;9,764809765280E-1
1,218867341043E0;9,743761380083E-1
1,218879799836E0;9,721631448329E-1
1,218889383523E0;9,704608423904E-1
1,226557127377E0;9,671412345427E-1
1,233421292024E0;9,655453565762E-1
1,243797325176E0;9,639895267078E-1
1,277775210680E0;9,594691217265E-1
1,293411057186E0;9,584391164173E-1
1,340536083783E0;9,571810065331E-1
1,374164283871E0;9,568400269282E-1
1,400030655679E0;9,568396276079E-1
1,425897027487E0;9,568392282876E-1
1,451763399296E0;9,568388289673E-1
1,477629771104E0;9,568384296470E-1
1,503496142912E0;9,568380303267E-1
1,529362514721E0;9,568376310064E-1
1,555228886529E0;9,568372316861E-1
1,581095258337E0;9,568368323658E-1
1,606961630145E0;9,568364330455E-1
1,669040922485E0;9,568354746767E-1
1,710427117379E0;9,568348357643E-1
1,736293489187E0;9,568344364440E-1
1,762159860995E0;9,568340371236E-1
1,788026232804E0;9,568336378033E-1
1,813892604612E0;9,568332384830E-1
1,839758976420E0;9,568328391627E-1
1,873385259771E0;9,568323200464E-1
1,909005675495E0;9,567844839701E-1
1,934653885226E0;9,561287139164E-1
1,951578208391E0;9,551092820473E-1
1,968917086762E0;9,536595191169E-1
2,008095825248E0;9,507294930389E-1
2,034049386899E0;9,501018768105E-1
2,059446477489E0;9,499209375218E-1
2,084987942515E0;9,493018218065E-1
2,103187190297E0;9,484004014605E-1
2,118311345819E0;9,472307964614E-1
2,127432972086E0;9,453581231193E-1
2,144934321463E0;9,417645051791E-1
2,160469079825E0;9,406286118126E-1
2,195483210879E0;9,398043246113E-1
2,243760528179E0;9,397562931401E-1
2,270228131153E0;9,390404508537E-1
2,292612842840E0;9,375751988862E-1
2,304394425546E0;9,357731856459E-1
2,318080092526E0;9,320179454484E-1
2,331479285222E0;9,290091557193E-1
2,343960262205E0;9,258696147865E-1
2,349635285579E0;9,243529988208E-1
2,369879921953E0;9,201010297100E-1
2,383279114649E0;9,170922399809E-1
2,395760091632E0;9,139526990480E-1
2,401435115006E0;9,124360830823E-1
2,409084624339E0;9,096702764574E-1
2,423054114878E0;9,060952259803E-1
2,438910917623E0;9,024272935148E-1
2,455925863140E0;8,993259175197E-1
2,468548825304E0;8,977068159716E-1
2,541345606174E0;8,925915081064E-1
2,590298519546E0;8,831493920547E-1
2,817498460057E0;8,563819096186E-1
2,849112914489E0;8,563814215604E-1
2,874979286298E0;8,563810222401E-1
2,900845658106E0;8,563806229198E-1
2,926712029914E0;8,563802235995E-1
2,988791322254E0;8,563792652308E-1
3,030177517148E0;8,563786263183E-1
3,056043888956E0;8,563782269980E-1
3,081910260764E0;8,563778276777E-1
3,107776632572E0;8,563774283574E-1
3,133643004381E0;8,563770290371E-1
3,159509376189E0;8,563766297168E-1
3,185375747997E0;8,563762303965E-1
3,211242119806E0;8,563758310762E-1
3,237108491614E0;8,563754317559E-1
3,270734774965E0;8,563749126395E-1
3,314277246240E0;8,562418391493E-1
3,336386910370E0;8,553787400705E-1
3,354812876446E0;8,541249333330E-1
3,368446180895E0;8,525769998651E-1
3,408152518330E0;8,485020522828E-1
3,447710657198E0;8,475088599045E-1
3,467729393052E0;8,466229171779E-1
3,489521561996E0;8,452573743255E-1
3,505343674950E0;8,434640994908E-1
3,516044816351E0;8,414552804087E-1
3,530647861831E0;8,382061640848E-1
3,542476355520E0;8,355068392218E-1
3,563396035233E0;8,316583668072E-1
3,583742468950E0;8,299569904302E-1
3,618756600004E0;8,291327032289E-1
3,671864145103E0;8,289403743562E-1
3,704189407130E0;8,281947956651E-1
3,729493930435E0;8,273427165283E-1
3,751870058885E0;8,265733259370E-1
3,824988030209E0;8,216280406877E-1
3,879263937575E0;8,118462601735E-1
3,895187849519E0;8,107919656675E-1
3,911483400704E0;8,093237641662E-1
3,947260410044E0;8,054327150428E-1
3,954477828416E0;8,037821307065E-1
3,972142693671E0;8,056449332887E-1
4,111257900084E0;7,780560312462E-1
4,179085275048E0;7,780549841396E-1
4,220471469941E0;7,780543452271E-1
4,254097753292E0;7,780538261107E-1
4,303085642974E0;7,777306641071E-1
4,323091364841E0;7,767765119172E-1
4,343787273741E0;7,752639082178E-1
4,352908900008E0;7,733912348757E-1
4,370410249385E0;7,697976169355E-1
4,388841337384E0;7,685701514494E-1
4,414167505463E0;7,678375412157E-1
4,445566406797E0;7,678370564852E-1
4,479192690147E0;7,678365373688E-1
4,505059061956E0;7,678361380485E-1
4,530925433764E0;7,678357387282E-1
4,556791805572E0;7,678353394079E-1
4,582658177380E0;7,678349400876E-1
4,616284460731E0;7,678344209712E-1
4,659826932006E0;7,677013474809E-1
4,681936596137E0;7,668382484021E-1
4,700362562213E0;7,655844416647E-1
4,713995866662E0;7,640365081968E-1
4,753031325666E0;7,599174102426E-1
4,776344629215E0;7,593204385187E-1
4,807743530549E0;7,593199537882E-1
4,841369813899E0;7,593194346718E-1
4,867236185708E0;7,593190353515E-1
4,893102557516E0;7,593186360312E-1
4,918968929324E0;7,593182367109E-1
4,944835301133E0;7,593178373906E-1
4,970701672941E0;7,593174380703E-1
4,996568044749E0;7,593170387500E-1
5,022434416558E0;7,593166394297E-1
5,056060699908E0;7,593161203133E-1
5,091681115633E0;7,592682842370E-1
5,113780433838E0;7,588409345838E-1
5,133940496363E0;7,578019037156E-1
5,156739973304E0;7,564767507427E-1
5,196037408581E0;7,546435898635E-1
5,222893334356E0;7,542066378979E-1
5,271170651656E0;7,541586064267E-1
5,297638254630E0;7,534427641403E-1
5,320022966318E0;7,519775121729E-1
5,331804549023E0;7,501754989326E-1
5,332895088961E0;7,479064212210E-1
5,332907547755E0;7,456934280457E-1
5,336150427918E0;7,439910756881E-1
5,342992248846E0;7,411537995743E-1
5,348733466964E0;7,378149692396E-1
5,354662249630E0;7,348895522809E-1
5,358126168792E0;7,331243734501E-1
5,358860172748E0;7,303723067424E-1
5,358869756435E0;7,286700042999E-1
5,358879340123E0;7,269677018573E-1
