Line 14 x;Line 14 y
1,021039409383E-1;9,943103152435E-1
1,346770934369E-1;9,943098123851E-1
1,675232798601E-1;9,943093053118E-1
2,118286839165E-1;9,942967997893E-1
2,365325252029E-1;9,942145562925E-1
2,606156623130E-1;9,937609495791E-1
2,828693938118E-1;9,933076619198E-1
3,026294980115E-1;9,970156119946E-1
3,041713448462E-1;9,955396694792E-1
3,073827981041E-1;9,938333750882E-1
3,336012325688E-1;9,922318084347E-1
3,522775747308E-1;9,890079748615E-1
3,556870104018E-1;9,918371473915E-1
3,762462780191E-1;9,882242928958E-1
3,787211763758E-1;9,914089347700E-1
3,834148090630E-1;9,879771907760E-1
4,049695312729E-1;9,908694416377E-1
5,216110948148E-1;9,821526643237E-1
5,270096206048E-1;9,819511968893E-1
5,580123078273E-1;9,801370077221E-1
5,721007085386E-1;9,934519083724E-1
5,823435675514E-1;9,798804133610E-1
6,029681297643E-1;9,802856097350E-1
6,121238609816E-1;9,797031729230E-1
6,411541033116E-1;9,798797101568E-1
7,002709115482E-1;9,796352737219E-1
7,222503537414E-1;9,795062484600E-1
7,433526004729E-1;9,790505493178E-1
7,531740489164E-1;9,787293771091E-1
7,831691815089E-1;9,771841639658E-1
8,044548202654E-1;9,759550271961E-1
8,050085667065E-1;9,738186394490E-1
8,208102075668E-1;9,750325769281E-1
8,468324761401E-1;9,736209117575E-1
8,981376679180E-1;9,720120520141E-1
9,510595840629E-1;9,713663698058E-1
9,845430337234E-1;9,702999978309E-1
1,002277002630E0;9,693970569607E-1
1,021863999092E0;9,681267147331E-1
1,036785484399E0;9,661550517428E-1
1,042471963017E0;9,647555789760E-1
1,051965167329E0;9,621985234516E-1
1,061902111718E0;9,596413311698E-1
1,069442359884E0;9,575102503045E-1
1,076670350225E0;9,543412338576E-1
1,085920128023E0;9,526228829008E-1
1,094719644768E0;9,500821423999E-1
1,105535719638E0;9,469439070654E-1
1,114790938773E0;9,444354734130E-1
1,122148101756E0;9,428105217925E-1
1,130841819583E0;9,414662860539E-1
1,143055236798E0;9,397208274608E-1
1,185433856525E0;9,354047868519E-1
1,199498752667E0;9,341380765392E-1
1,214366903165E0;9,330341862791E-1
1,228741023603E0;9,319285374509E-1
1,244910971571E0;9,306009558006E-1
1,259448984968E0;9,293025723393E-1
1,277134911187E0;9,275029691661E-1
1,283808162659E0;9,255474313136E-1
1,288140929903E0;9,216919649691E-1
1,289648307657E0;9,201901812838E-1
1,302114565493E0;9,178109554353E-1
1,316217112926E0;9,163306543852E-1
1,330952488823E0;9,150657692117E-1
1,346566139101E0;9,134023322868E-1
1,369451573696E0;9,103748076312E-1
1,377873543260E0;9,081019870774E-1
1,391729998940E0;9,056199274623E-1
1,405793802494E0;9,043737742779E-1
1,434999308415E0;9,030017511511E-1
1,482865620858E0;9,019661204873E-1
1,521051594406E0;9,015602209091E-1
1,580168402642E0;9,013157844742E-1
1,602147844835E0;9,011867592124E-1
1,623250091567E0;9,007310600702E-1
1,633071540010E0;9,004098878615E-1
1,663066672603E0;8,988646747182E-1
1,684352311359E0;8,976355379485E-1
1,703925864332E0;8,965246823536E-1
1,723611082356E0;8,953550962987E-1
1,746532791185E0;8,944281256730E-1
1,782839404370E0;8,936053469343E-1
1,847837188076E0;8,930017825395E-1
1,883414009462E0;8,925067140851E-1
1,901860593642E0;8,916797887505E-1
1,917762196006E0;8,905639795406E-1
1,933633504105E0;8,892478331561E-1
1,951840423778E0;8,876529685711E-1
1,970813792928E0;8,861568623454E-1
1,988279960066E0;8,852067248934E-1
2,065114846274E0;8,838583484068E-1
2,096524953296E0;8,836906730994E-1
2,124701164862E0;8,836294416097E-1
2,150567536670E0;8,836290422894E-1
2,176433908478E0;8,836286429691E-1
2,202300280287E0;8,836282436488E-1
2,228166652095E0;8,836278443285E-1
2,255880621890E0;8,836274164853E-1
2,286423726101E0;8,836269449665E-1
2,321541988465E0;8,836642317571E-1
2,348858011811E0;8,836992746885E-1
2,383266714503E0;8,833668672937E-1
2,408584983162E0;8,825853736812E-1
2,434822399250E0;8,813344285731E-1
2,460289856497E0;8,797456019912E-1
2,487733502854E0;8,773563560402E-1
2,514886532213E0;8,745366140439E-1
2,531297878321E0;8,726076797099E-1
2,545021757201E0;8,703089846388E-1
2,554629551081E0;8,677338702621E-1
2,564164038530E0;8,655575197708E-1
2,574145343043E0;8,641923585069E-1
2,590237702264E0;8,625037998893E-1
2,608956512950E0;8,608409073341E-1
2,625076265959E0;8,592633405053E-1
2,650147827120E0;8,551405030086E-1
2,661314661068E0;8,514028911142E-1
2,666727625539E0;8,499642523394E-1
2,675739625280E0;8,486045765791E-1
2,688216243557E0;8,469226604307E-1
2,701869032051E0;8,452422828408E-1
2,728017363820E0;8,424942023512E-1
2,744630622151E0;8,411055204708E-1
2,770603583707E0;8,390899229688E-1
2,796002767757E0;8,370197722330E-1
2,812356683632E0;8,354651097702E-1
2,823352489817E0;8,339292711025E-1
2,831336986995E0;8,316745042865E-1
2,842560250979E0;8,277595317551E-1
2,850967357967E0;8,247784660738E-1
2,851443535109E0;8,263903234523E-1
2,865629988758E0;8,242527468371E-1
2,882655054398E0;8,218720444147E-1
2,911849417094E0;8,183268193957E-1
2,912043459433E0;8,170773220365E-1
2,928084486109E0;8,168333713883E-1
2,929125794169E0;8,161152975002E-1
2,945142887361E0;8,157894251655E-1
2,990459465697E0;8,144144480909E-1
3,011497705948E0;8,138213573288E-1
3,022563534357E0;8,140491734110E-1
3,053973641379E0;8,138814981036E-1
3,082149852945E0;8,138202666139E-1
3,108016224753E0;8,138198672936E-1
3,133882596561E0;8,138194679733E-1
3,159748968369E0;8,138190686530E-1
3,185615340178E0;8,138186693327E-1
3,211481711986E0;8,138182700124E-1
3,237348083794E0;8,138178706921E-1
3,263214455603E0;8,138174713718E-1
3,289080827411E0;8,138170720515E-1
3,314947199219E0;8,138166727312E-1
3,342661169014E0;8,138162448881E-1
3,371298937802E0;8,138158027834E-1
3,400675745784E0;8,138153492697E-1
3,436149627121E0;8,138148016304E-1
3,465526435103E0;8,138143481166E-1
3,494164203891E0;8,138139060120E-1
3,521878173686E0;8,138134781688E-1
3,547744545494E0;8,138130788485E-1
3,575920243648E0;8,138430421325E-1
3,607328789042E0;8,139527509285E-1
3,637351578901E0;8,140726138692E-1
3,684303610394E0;8,134033210963E-1
3,709624267557E0;8,121978499149E-1
3,732844002253E0;8,101239417505E-1
3,740544319911E0;8,084839596556E-1
3,743016622182E0;8,062510314659E-1
3,747344683786E0;8,032314046275E-1
3,781280100289E0;7,988803967641E-1
3,802916292516E0;7,980381238685E-1
3,832136748073E0;7,973303844263E-1
3,855562922422E0;7,964771902614E-1
3,879018268456E0;7,949154221244E-1
3,902104318158E0;7,925868621714E-1
3,910076523072E0;7,906282638344E-1
3,918048176000E0;7,880347915953E-1
3,921813825385E0;7,865140612336E-1
3,929012674323E0;7,827456517077E-1
3,934529877525E0;7,790424578043E-1
3,935958045442E0;7,769786412451E-1
3,936620783160E0;7,753420812472E-1
3,938200993907E0;7,736358225236E-1
3,941369021443E0;7,711643296664E-1
3,950956249304E0;7,656506136730E-1
3,961259575598E0;7,631178070872E-1
3,988242492604E0;7,590551365760E-1
4,008674539772E0;7,563072239481E-1
4,018910184974E0;7,547077799470E-1
4,027872267456E0;7,529779135522E-1
4,041186438204E0;7,491179739883E-1
4,045915548595E0;7,450560185616E-1
4,049395145832E0;7,432408512467E-1
4,053503583806E0;7,415519958625E-1
4,082242742842E0;7,370228876756E-1
4,094507145203E0;7,347936983745E-1
4,109116249800E0;7,321530930311E-1
4,130552858882E0;7,294068270227E-1
4,143834455072E0;7,280877545761E-1
4,161742207513E0;7,270214041434E-1
4,185189375856E0;7,258222462671E-1
4,227733828072E0;7,248287458218E-1
4,251907073248E0;7,247386977866E-1
4,312845322406E0;7,244303968966E-1
4,348780804735E0;7,243834157050E-1
4,370434860733E0;7,239309278650E-1
4,390833251658E0;7,228246379520E-1
4,411821022571E0;7,214035059891E-1
4,439112472298E0;7,192675204909E-1
4,458464330817E0;7,178471183045E-1
4,480929308601E0;7,166385658059E-1
4,510649413061E0;7,160872441442E-1
4,555466860814E0;7,160215337702E-1
4,609667887511E0;7,157724446068E-1
